question_id,question,question_type,expected_route,actual_route,route_correct,answer_text,used_citations,gold_evidence_nct_ids,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_notes,human_answer_correctness,human_groundedness,human_completeness,human_citation_entailment,human_notes
F01,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,factual,structured,,,,,,,,,,,,,,,
F02,How many currently active direct-obesity trials does Amgen have?,factual,structured,structured,True,Amgen has 7 currently active direct-obesity trials.,[],[],pass,pass,pass,not_applicable,"The answer correctly states that Amgen has 7 currently active direct-obesity trials based on the structured analysis. The structured analysis provides the necessary data to answer the question, and the answer is accurate and complete. No citations are required because the answer is derived from the structured analysis, which is the expected route. The abstention is correct because the answer is directly supported by the structured data.",,,,,
F03,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,factual,structured,structured,True,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,[],[],pass,pass,pass,not_applicable,"The answer correctly states that the corpus contains 18 trials evaluating Tirzepatide as an Eli Lilly program, based on the structured analysis. The answer is supported by the structured data and does not require citations because the structured analysis provides the necessary evidence. All parts of the question are addressed, and there are no factual errors.",,,,,
F04,How many Novo Nordisk obesity trials evaluate Semaglutide?,factual,structured,structured,True,26 Novo Nordisk obesity trials evaluate Semaglutide.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that 26 Novo Nordisk obesity trials evaluate Semaglutide, based on the structured analysis provided. The answer is supported by the structured data showing 26 trials with Novo Nordisk as the company and Semaglutide as the primary program. No citations are required or provided, as the answer is derived directly from the structured analysis. All criteria are met: answer correctness, groundedness, completeness, and appropriate abstention behavior (no citations needed).",,,,,
F05,Which development phase contains most of Novo Nordisk's direct-obesity trials?,factual,structured,structured,True,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials.",[],[],pass,pass,pass,not_applicable,"The answer correctly identifies that Phase 3 contains the majority of Novo Nordisk's direct-obesity trials (59 out of 70) based on the structured analysis. The answer is supported by the provided structured data showing phase distribution. No citations are required as per the structured analysis context, and the answer accurately reflects the data without overgeneralization or unsupported claims.",,,,,
F06,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,factual,retrieval,,,,,,,,,,,,,,,
F07,What populations are being studied in Survodutide obesity trials?,factual,retrieval,retrieval,True,"The Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).","[""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]","[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",pass,pass,pass,pass,"The generated answer accurately identifies the distinct patient populations studied in Survodutide obesity trials based on the retrieved evidence. Each population is supported by specific trial details from the provided NCT IDs. The answer is comprehensive, covering all relevant populations mentioned in the evidence without introducing unsupported claims. All citations used are valid and directly support the claims made.",,,,,
F08,What primary endpoints are used in Maridebart cafraglutide obesity trials?,factual,retrieval,retrieval,True,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, with consistent emphasis on percent change in body weight at Week 72 across multiple Phase 3 studies.","[""NCT05669599"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]","[""NCT05669599"", ""NCT06987695"", ""NCT07441252"", ""NCT07684235""]",pass,pass,pass,pass,"The generated answer correctly identifies the primary endpoints used in Maridebart cafraglutide obesity trials based on the retrieved evidence. The answer states that the primary endpoints focus on weight change metrics, specifically percent change in body weight at Week 72 across multiple Phase 3 studies, and notes additional primary endpoints in specific trials (e.g., ≥5% reduction in body weight in NCT06987695, percent change from parent trial baseline in extension trials, etc.). All claims are supported by the cited trial evidence, and the answer is comprehensive in covering the primary endpoints across different trial types (Phase 2, Phase 3, extension trials, switching trial). The citations are valid and fully support the claims made.",,,,,
F09,What trial objectives are being studied for Zenagamtide in obesity?,factual,retrieval,retrieval,True,"The retrieved evidence for Zenagamtide in obesity indicates that the primary trial objectives focus on evaluating the efficacy and safety of the drug in promoting weight loss across various patient populations, including those with comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.","[""NCT07339423"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]","[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07503210"", ""NCT07509307"", ""NCT07571005"", ""NCT07720271""]",pass,pass,pass,pass,"The generated answer accurately reflects the trial objectives for Zenagamtide in obesity based on the retrieved evidence. All claims are supported by the cited NCT IDs, which describe Phase 3 trials focusing on weight loss efficacy, safety, and secondary outcomes in comorbid conditions. The answer comprehensively covers primary and secondary objectives, population specifics, and comparative trials without overgeneralization or unsupported claims.",,,,,
F10,Which company has the largest number of direct-obesity trials in the frozen corpus?,factual,structured,structured,True,"Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials, followed by Eli Lilly with 54 trials, Amgen with 8 trials, and Boehringer Ingelheim with 7 trials.",[],[],pass,pass,pass,not_applicable,"The generated answer correctly identifies Novo Nordisk as having the largest number of direct-obesity trials (70) among the four companies listed, based on the structured analysis data. The answer is fully supported by the provided structured analysis which explicitly lists trial counts per company. No citations are required as the answer is derived directly from the structured metadata. All aspects of the question are addressed comprehensively.",,,,,
C01,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,comparative,structured,,,,,,,,,,,,,,,
C02,Compare the active share of obesity trials for Amgen and Novo Nordisk.,comparative,structured,structured,True,"Novo Nordisk has a significantly larger active share of obesity trials compared to Amgen, with 25 active trials versus 7 active trials.",[],[],pass,pass,pass,not_applicable,"The answer correctly compares the active share of obesity trials for Amgen and Novo Nordisk based on the structured analysis data. The structured analysis shows 25 active trials for Novo Nordisk and 7 for Amgen, supporting the claim of a significantly larger active share for Novo Nordisk. No citations are required as the answer is derived directly from the structured analysis data provided in the context. All aspects of the rubric are satisfied: answer correctness, groundedness, completeness, and appropriate abstention behavior (no citations needed).",,,,,
C03,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,comparative,hybrid,,,,,,,,,,,,,,,
