question_id,question_type,route,question,recall_at_5_dense,recall_at_10_dense,mrr_dense,first_relevant_rank_dense,recall_at_5_bm25,recall_at_10_bm25,mrr_bm25,first_relevant_rank_bm25,delta_recall_at_5,delta_recall_at_10,delta_mrr
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,0.5,1.0,0.3333333333333333,3.0,0.5,0.5,0.5,2,0.0,0.5,-0.16666666666666669
F07,factual,retrieval,What populations are being studied in Survodutide obesity trials?,0.8333333333333334,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.5,2,0.5,0.16666666666666663,0.5
F08,factual,retrieval,What primary endpoints are used in Maridebart cafraglutide obesity trials?,0.5,1.0,0.3333333333333333,3.0,0.5,1.0,0.3333333333333333,3,0.0,0.0,0.0
F09,factual,retrieval,What trial objectives are being studied for Zenagamtide in obesity?,0.42857142857142855,0.7142857142857143,1.0,1.0,0.2857142857142857,0.7142857142857143,0.5,2,0.14285714285714285,0.0,0.5
C03,comparative,hybrid,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,0.0,0.0,0.0,,0.0,0.1666666666666666,0.125,8,0.0,-0.1666666666666666,-0.125
C04,comparative,retrieval,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,0.5,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,0.5,2,0.0,0.0,0.5
C05,comparative,hybrid,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,0.375,0.75,1.0,1.0,0.25,0.5,1.0,1,0.125,0.25,0.0
C06,comparative,hybrid,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,0.3333333333333333,0.5,0.25,4.0,0.0,0.3333333333333333,0.1666666666666666,6,0.3333333333333333,0.16666666666666669,0.0833333333333334
C08,comparative,retrieval,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,0.5,0.625,1.0,1.0,0.5,0.625,1.0,1,0.0,0.0,0.0
A01,analytical,hybrid,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,0.0,0.0,0.05263157894736842,19.0,0.2,0.2,0.3333333333333333,3,-0.2,-0.2,-0.2807017543859649
A02,analytical,hybrid,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,0.0,0.3333333333333333,0.16666666666666666,6.0,0.1666666666666666,0.3333333333333333,0.25,4,-0.1666666666666666,0.0,-0.08333333333333334
A03,analytical,retrieval,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",0.14285714285714285,0.14285714285714285,0.5,2.0,0.1428571428571428,0.1428571428571428,0.5,2,5.551115123125783e-17,5.551115123125783e-17,0.0
A04,analytical,hybrid,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",0.125,0.125,0.25,4.0,0.25,0.25,0.5,2,-0.125,-0.125,-0.25
A05,analytical,retrieval,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,0.0,0.0,0.0,,0.5,0.5,1.0,1,-0.5,-0.5,-1.0
A06,analytical,hybrid,How does Amgen's obesity development strategy differ from the larger Novo Nordisk and Eli Lilly portfolios in this dataset?,0.0,0.0,0.09090909090909091,11.0,0.0,0.2,0.1666666666666666,6,0.0,-0.2,-0.07575757575757569
A07,analytical,retrieval,What evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts?,0.0,0.0,0.0,,0.2,0.2,0.25,4,-0.2,-0.2,-0.25
A08,analytical,hybrid,"What does the current trial-status mix suggest about the maturity of Amgen, Boehringer Ingelheim, Eli Lilly and Novo Nordisk obesity portfolios?",0.0,0.0,0.08333333333333333,12.0,0.1428571428571428,0.1428571428571428,0.25,4,-0.1428571428571428,-0.1428571428571428,-0.16666666666666669
A09,analytical,retrieval,How diverse are the trial populations and geographies represented in the major obesity programs?,0.0,0.0,0.0,,0.1666666666666666,0.1666666666666666,1.0,1,-0.1666666666666666,-0.1666666666666666,-1.0
A10,analytical,hybrid,"What are the main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide in this corpus?",0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1,-0.16666666666666669,-0.16666666666666669,0.0
