question_id,question,question_type,expected_route,actual_route,route_correct,answer_text,used_citations,gold_evidence_nct_ids,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_notes,human_answer_correctness,human_groundedness,human_completeness,human_citation_entailment,human_notes
F01,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,factual,structured,structured,True,Eli Lilly has 37 direct-obesity Phase 3 trials in the corpus.,[],[],pass,pass,pass,pass,"The generated answer correctly states that Eli Lilly has 37 direct-obesity Phase 3 trials in the corpus, which is directly supported by the structured analysis. The answer is materially correct, fully grounded in the provided evidence, and complete as it directly answers the question without omissions. Citation entailment is pass because the answer is derived from the structured analysis and no external citations are required or provided.",,,,,
F02,How many currently active direct-obesity trials does Amgen have?,factual,structured,structured,True,Amgen has 7 currently active direct-obesity trials.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that Amgen has 7 currently active direct-obesity trials, which is fully supported by the structured analysis. All key findings (active status breakdown, phase distribution, and program focus) are accurately derived from the provided data. No unsupported claims or omissions are present. Citations are not required for this structured answer type.",,,,,
F03,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,factual,structured,structured,True,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,[],[],pass,pass,pass,not_applicable,"The answer correctly states that the corpus contains 18 trials evaluating Tirzepatide as an Eli Lilly program, which is directly supported by the structured analysis. All key findings (phases, statuses) are accurate and derived from the provided data. No unsupported claims are made, and the limitations are appropriately included. Since the answer relies solely on structured analysis without requiring external citations, citation entailment is not applicable.",,,,,
F04,How many Novo Nordisk obesity trials evaluate Semaglutide?,factual,structured,structured,True,There are 26 Novo Nordisk obesity trials evaluating Semaglutide.,[],[],pass,pass,pass,pass,"The generated answer correctly states that there are 26 Novo Nordisk obesity trials evaluating Semaglutide, which is directly supported by the structured analysis. The answer is concise, accurate, and aligns with the provided data. No unsupported claims or omissions are present. The citation_entailment is pass because the answer is derived directly from the structured analysis without requiring external evidence.",,,,,
F05,Which development phase contains most of Novo Nordisk's direct-obesity trials?,factual,structured,structured,True,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials (84%) classified at this phase level.",[],[],pass,pass,pass,pass,"The answer correctly identifies that Phase 3 contains the majority of Novo Nordisk's direct-obesity trials (59 out of 70 total trials, 84%) based on the structured analysis. The evidence provided in the structured analysis clearly shows the phase distribution for Novo Nordisk's trials, with 59 Phase 3 and 11 Phase 2 trials. The answer is accurate, well-supported by the data, and complete in addressing the question. No citations are required as the answer is derived directly from the structured analysis provided.",,,,,
F06,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,factual,retrieval,hybrid,False,"The primary outcomes used in Phase 3 Retatrutide obesity trials consistently focus on weight reduction metrics, specifically percent change from baseline in body weight, measured at various time points across different patient populations and study designs.","[""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT06662383"", ""NCT06859268"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]","[""NCT05929066"", ""NCT05929079"", ""NCT06859268"", ""NCT07035093""]",pass,pass,pass,pass,"The answer correctly identifies the primary outcome across all Phase 3 Retatrutide obesity trials as percent change from baseline in body weight, supported by all nine cited trials. The key findings accurately note additional co-primary outcomes (WOMAC pain score and AHI change) in specific subpopulations, with appropriate citations. The answer is comprehensive, well-supported, and adheres to the evidence constraints.",,,,,
F07,What populations are being studied in Survodutide obesity trials?,factual,retrieval,retrieval,True,"Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).","[""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]","[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",pass,pass,pass,pass,"The generated answer correctly identifies and summarizes the distinct patient populations studied in the Survodutide obesity trials based on the retrieved evidence. Each population is clearly described with supporting citations. The answer is comprehensive, covering all relevant populations mentioned in the evidence without adding unsupported claims. All citations align with the claims made in the answer.",,,,,
F08,What primary endpoints are used in Maridebart cafraglutide obesity trials?,factual,retrieval,retrieval,True,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, specifically percent change in body weight from baseline at various time points.","[""NCT05669599"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]","[""NCT05669599"", ""NCT06987695"", ""NCT07441252"", ""NCT07684235""]",pass,pass,pass,pass,"The answer correctly identifies the primary endpoints used in Maridebart cafraglutide obesity trials based on the retrieved evidence. It accurately states that percent change in body weight from baseline is the primary endpoint across all Phase 3 trials and most Phase 2 trials, with additional co-primary endpoints noted for specific trials (e.g., proportion achieving ≥5% weight reduction in NCT06987695 and liver fat content in NCT07441252). The citations support all claims made in the answer, and the answer is comprehensive in covering the key findings from the evidence.",,,,,
F09,What trial objectives are being studied for Zenagamtide in obesity?,factual,retrieval,retrieval,True,"The retrieved evidence for Zenagamtide in obesity shows that the primary trial objectives focus on evaluating the safety and efficacy of the drug for weight loss in participants with excess body weight, often measured as relative change in body weight over extended periods (up to 84 weeks). Several trials also incorporate secondary objectives related to comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.","[""NCT07339423"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]","[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07503210"", ""NCT07509307"", ""NCT07571005"", ""NCT07720271""]",pass,pass,pass,pass,"The generated answer accurately identifies the primary trial objectives for Zenagamtide in obesity based on the retrieved evidence. It correctly states that all trials evaluate safety and efficacy for weight loss, measured as relative change in body weight over extended periods. The answer also appropriately notes secondary objectives related to comorbid conditions (sleep apnea, knee osteoarthritis) and maintenance of weight loss, with specific citations for each claim. The limitations section correctly reflects the provided corpus limitations. All claims are supported by the cited NCT IDs and align with the evidence.",,,,,
F10,Which company has the largest number of direct-obesity trials in the frozen corpus?,factual,structured,structured,True,Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials.,[],[],pass,pass,pass,pass,The answer correctly identifies Novo Nordisk as having the largest number of direct-obesity trials (70) based on the structured analysis. The key findings accurately reflect the trial counts per company from the provided data. All claims are supported by the structured analysis and no unsupported claims are made. The answer is complete and accurate.,,,,,
