question_id,question_type,route,question,companies,programs,answerable,requires_evidence_retrieval,scope_nct_ids,scope_document_count,gold_evidence_nct_ids,gold_evidence_count,evidence_review_status,expected_answer_points,notes
F01,factual,structured,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,"[""Eli Lilly""]",[],True,False,"[""NCT04184622"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04844918"", ""NCT04847557"", ""NCT05024032"", ""NCT05556512"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT06047548"", ""NCT06075667"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06859268"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07357415"", ""NCT07369011"", ""NCT07392190""]",37,[],0,not_applicable,Return the Phase 3 trial count from the frozen direct-obesity corpus.,
F02,factual,structured,How many currently active direct-obesity trials does Amgen have?,"[""Amgen""]",[],True,False,"[""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]",7,[],0,not_applicable,Return the active-trial count using the predefined active-status set.,
F03,factual,structured,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,"[""Eli Lilly""]","[""Tirzepatide""]",True,False,"[""NCT04184622"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04844918"", ""NCT04847557"", ""NCT05024032"", ""NCT05556512"", ""NCT05822830"", ""NCT06037252"", ""NCT06047548"", ""NCT06075667"", ""NCT06143956"", ""NCT06373146"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099""]",23,[],0,not_applicable,Return the number of Lilly trials containing Tirzepatide as an internal normalized program.,
F04,factual,structured,How many Novo Nordisk obesity trials evaluate Semaglutide?,"[""Novo Nordisk""]","[""Semaglutide""]",True,False,"[""NCT02453711"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04788511"", ""NCT04916470"", ""NCT04998136"", ""NCT05040971"", ""NCT05064735"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06131437"", ""NCT06388187"", ""NCT06780449"", ""NCT07253285"", ""NCT07400107"", ""NCT07564414"", ""NCT07639021"", ""NCT07668414"", ""NCT07770841""]",36,[],0,not_applicable,Return the number of Novo trials containing Semaglutide.,
F05,factual,structured,Which development phase contains most of Novo Nordisk's direct-obesity trials?,"[""Novo Nordisk""]",[],True,False,"[""NCT00422058"", ""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04775082"", ""NCT04788511"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06064006"", ""NCT06131437"", ""NCT06326060"", ""NCT06388187"", ""NCT06780449"", ""NCT07011667"", ""NCT07184632"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07339423"", ""NCT07357766"", ""NCT07395687"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07639021"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",70,[],0,not_applicable,Compare Phase 2 versus Phase 3 counts and identify the larger group.,
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,"[""Eli Lilly""]","[""Retatrutide""]",True,True,"[""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT06662383"", ""NCT06859268"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]",9,"[""NCT05929066"", ""NCT05929079"", ""NCT06859268"", ""NCT07035093""]",4,complete,Summarize the primary outcome measures found in the relevant trial records.,
F07,factual,retrieval,What populations are being studied in Survodutide obesity trials?,"[""Boehringer Ingelheim""]","[""Survodutide""]",True,True,"[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",6,"[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",6,complete,"Summarize population characteristics supported by trial conditions, eligibility and descriptions.",
F08,factual,retrieval,What primary endpoints are used in Maridebart cafraglutide obesity trials?,"[""Amgen""]","[""Maridebart cafraglutide""]",True,True,"[""NCT05669599"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]",8,"[""NCT05669599"", ""NCT06987695"", ""NCT07441252"", ""NCT07684235""]",4,complete,Summarize primary endpoint patterns across the Amgen obesity trials.,
F09,factual,retrieval,What trial objectives are being studied for Zenagamtide in obesity?,"[""Novo Nordisk""]","[""Zenagamtide""]",True,True,"[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]",12,"[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07503210"", ""NCT07509307"", ""NCT07571005"", ""NCT07720271""]",7,complete,Summarize objectives explicitly supported by Zenagamtide trial records.,
F10,factual,structured,Which company has the largest number of direct-obesity trials in the frozen corpus?,"[""Amgen"", ""Boehringer Ingelheim"", ""Eli Lilly"", ""Novo Nordisk""]",[],True,False,"[""NCT00422058"", ""NCT00504673"", ""NCT00630825"", ""NCT00781937"", ""NCT00993421"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04667377"", ""NCT04775082"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05024032"", ""NCT05035095"", ""NCT05040971"", ""NCT05051579"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05616013"", ""NCT05646706"", ""NCT05649137"", ""NCT05669599"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05890976"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT05996848"", ""NCT06037252"", ""NCT06041217"", ""NCT06047548"", ""NCT06064006"", ""NCT06066515"", ""NCT06066528"", ""NCT06075667"", ""NCT06124807"", ""NCT06131437"", ""NCT06143956"", ""NCT06176365"", ""NCT06214741"", ""NCT06230523"", ""NCT06309992"", ""NCT06326060"", ""NCT06373146"", ""NCT06388187"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06683508"", ""NCT06780449"", ""NCT06858839"", ""NCT06858878"", ""NCT06859268"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT06987695"", ""NCT07011667"", ""NCT07030868"", ""NCT07035093"", ""NCT07184632"", ""NCT07215559"", ""NCT07220642"", ""NCT07220759"", ""NCT07232719"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07339423"", ""NCT07353931"", ""NCT07357415"", ""NCT07357766"", ""NCT07369011"", ""NCT07392190"", ""NCT07395687"", ""NCT07400107"", ""NCT07441252"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07575399"", ""NCT07589608"", ""NCT07639021"", ""NCT07662122"", ""NCT07668401"", ""NCT07668414"", ""NCT07684144"", ""NCT07684235"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",139,[],0,not_applicable,Compare company trial counts and identify the largest.,
