question_id,question,question_type,expected_route,expected_operation,requires_retrieval,gold_evidence_count,scope_nct_count,pipeline_success,pipeline_error,actual_route,route_correct,actual_operation,operation_correct,predicted_abstain,retrieved_count,recall_at_5,recall_at_10,hit_at_5,hit_at_10,mrr,first_relevant_rank,citation_count,citation_validity,citation_coverage,grounding_validator_pass,synthesis_repaired,synthesis_attempts,planner_latency_ms,synthesis_latency_ms,total_latency_ms,planner_input_tokens,planner_output_tokens,synthesis_input_tokens,synthesis_output_tokens,answer_text,used_citations,retrieved_nct_ids,gold_evidence_nct_ids,judge_success,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_abstention_correct,judge_notes,judge_error
F01,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,factual,structured,,False,0,37,False,Unknown phases: ['Phase 3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Pipeline execution failed; semantic judgement skipped.
F02,How many currently active direct-obesity trials does Amgen have?,factual,structured,,False,0,7,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1453.5,1957.0,3483.3,1765.0,168.0,2446.0,282.0,Amgen has 7 currently active direct-obesity trials.,[],[],[],True,pass,pass,pass,not_applicable,True,"The answer correctly states that Amgen has 7 currently active direct-obesity trials based on the structured analysis. The structured analysis provides the necessary data to answer the question, and the answer is accurate and complete. No citations are required because the answer is derived from the structured analysis, which is the expected route. The abstention is correct because the answer is directly supported by the structured data.",
F03,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,factual,structured,,False,0,23,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1568.3,1864.7,3495.9,1768.0,176.0,2576.0,299.0,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,[],[],[],True,pass,pass,pass,not_applicable,True,"The answer correctly states that the corpus contains 18 trials evaluating Tirzepatide as an Eli Lilly program, based on the structured analysis. The answer is supported by the structured data and does not require citations because the structured analysis provides the necessary evidence. All parts of the question are addressed, and there are no factual errors.",
F04,How many Novo Nordisk obesity trials evaluate Semaglutide?,factual,structured,,False,0,36,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1463.4,1506.2,3036.2,1761.0,170.0,2611.0,214.0,26 Novo Nordisk obesity trials evaluate Semaglutide.,[],[],[],True,pass,pass,pass,not_applicable,True,"The generated answer correctly states that 26 Novo Nordisk obesity trials evaluate Semaglutide, based on the structured analysis provided. The answer is supported by the structured data showing 26 trials with Novo Nordisk as the company and Semaglutide as the primary program. No citations are required or provided, as the answer is derived directly from the structured analysis. All criteria are met: answer correctness, groundedness, completeness, and appropriate abstention behavior (no citations needed).",
F05,Which development phase contains most of Novo Nordisk's direct-obesity trials?,factual,structured,,False,0,70,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1211.6,1637.9,2902.5,1766.0,169.0,3177.0,262.0,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials.",[],[],[],True,pass,pass,pass,not_applicable,True,"The answer correctly identifies that Phase 3 contains the majority of Novo Nordisk's direct-obesity trials (59 out of 70) based on the structured analysis. The answer is supported by the provided structured data showing phase distribution. No citations are required as per the structured analysis context, and the answer accurately reflects the data without overgeneralization or unsupported claims.",
F06,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,factual,retrieval,,True,4,9,False,Unknown phases: ['Phase 3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Pipeline execution failed; semantic judgement skipped.
F07,What populations are being studied in Survodutide obesity trials?,factual,retrieval,,True,6,6,True,,retrieval,True,,,False,6.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,True,True,2.0,1277.3,6943.700000000001,8339.5,1764.0,184.0,17023.0,1196.0,"The Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).","[""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]","[""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06066515"", ""NCT06309992"", ""NCT04667377""]","[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",True,pass,pass,pass,pass,True,"The generated answer accurately identifies the distinct patient populations studied in Survodutide obesity trials based on the retrieved evidence. Each population is supported by specific trial details from the provided NCT IDs. The answer is comprehensive, covering all relevant populations mentioned in the evidence without introducing unsupported claims. All citations used are valid and directly support the claims made.",
F08,What primary endpoints are used in Maridebart cafraglutide obesity trials?,factual,retrieval,,True,4,8,True,,retrieval,True,,,False,8.0,0.5,1.0,1.0,1.0,0.3333333333333333,3.0,7.0,1.0,1.0,True,False,1.0,1488.1,2930.7,4574.4,1766.0,200.0,6830.0,512.0,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, with consistent emphasis on percent change in body weight at Week 72 across multiple Phase 3 studies.","[""NCT05669599"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]","[""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07684235"", ""NCT07575399"", ""NCT07441252"", ""NCT07684144"", ""NCT05669599""]","[""NCT05669599"", ""NCT06987695"", ""NCT07441252"", ""NCT07684235""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies the primary endpoints used in Maridebart cafraglutide obesity trials based on the retrieved evidence. The answer states that the primary endpoints focus on weight change metrics, specifically percent change in body weight at Week 72 across multiple Phase 3 studies, and notes additional primary endpoints in specific trials (e.g., ≥5% reduction in body weight in NCT06987695, percent change from parent trial baseline in extension trials, etc.). All claims are supported by the cited trial evidence, and the answer is comprehensive in covering the primary endpoints across different trial types (Phase 2, Phase 3, extension trials, switching trial). The citations are valid and fully support the claims made.",
F09,What trial objectives are being studied for Zenagamtide in obesity?,factual,retrieval,,True,7,12,True,,retrieval,True,,,False,10.0,0.42857142857142855,0.7142857142857143,1.0,1.0,1.0,1.0,10.0,1.0,1.0,True,False,1.0,1524.7,3810.5,5498.0,1765.0,211.0,7940.0,650.0,"The retrieved evidence for Zenagamtide in obesity indicates that the primary trial objectives focus on evaluating the efficacy and safety of the drug in promoting weight loss across various patient populations, including those with comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.","[""NCT07339423"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]","[""NCT07720271"", ""NCT07668401"", ""NCT07571109"", ""NCT07339423"", ""NCT07509307"", ""NCT07481630"", ""NCT07571005"", ""NCT07503210"", ""NCT07533175"", ""NCT07668414""]","[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07503210"", ""NCT07509307"", ""NCT07571005"", ""NCT07720271""]",True,pass,pass,pass,pass,True,"The generated answer accurately reflects the trial objectives for Zenagamtide in obesity based on the retrieved evidence. All claims are supported by the cited NCT IDs, which describe Phase 3 trials focusing on weight loss efficacy, safety, and secondary outcomes in comorbid conditions. The answer comprehensively covers primary and secondary objectives, population specifics, and comparative trials without overgeneralization or unsupported claims.",
F10,Which company has the largest number of direct-obesity trials in the frozen corpus?,factual,structured,,False,0,139,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1303.5,1846.6,3202.6,1768.0,182.0,4088.0,327.0,"Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials, followed by Eli Lilly with 54 trials, Amgen with 8 trials, and Boehringer Ingelheim with 7 trials.",[],[],[],True,pass,pass,pass,not_applicable,True,"The generated answer correctly identifies Novo Nordisk as having the largest number of direct-obesity trials (70) among the four companies listed, based on the structured analysis data. The answer is fully supported by the provided structured analysis which explicitly lists trial counts per company. No citations are required as the answer is derived directly from the structured metadata. All aspects of the question are addressed comprehensively.",
C01,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,comparative,structured,,False,0,96,False,Unknown phases: ['Phase 3'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Pipeline execution failed; semantic judgement skipped.
C02,Compare the active share of obesity trials for Amgen and Novo Nordisk.,comparative,structured,,False,0,78,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1354.1,1830.0,3222.3,1765.0,181.0,2844.0,243.0,"Novo Nordisk has a significantly larger active share of obesity trials compared to Amgen, with 25 active trials versus 7 active trials.",[],[],[],True,pass,pass,pass,not_applicable,True,"The answer correctly compares the active share of obesity trials for Amgen and Novo Nordisk based on the structured analysis data. The structured analysis shows 25 active trials for Novo Nordisk and 7 for Amgen, supporting the claim of a significantly larger active share for Novo Nordisk. No citations are required as the answer is derived directly from the structured analysis data provided in the context. All aspects of the rubric are satisfied: answer correctness, groundedness, completeness, and appropriate abstention behavior (no citations needed).",
