question_id,method,trial_rank,nct_id,is_gold,canonical_company,brief_title,best_chunk_type,score
C03,BM25,1,NCT06439277,False,Eli Lilly,A Study of Tirzepatide in Adolescents With Obesity and Weight-Related Comorbidities (SURMOUNT-ADOLESCENTS-2),primary_outcome,24.54009480431784
C03,BM25,2,NCT02527200,False,Novo Nordisk,Effect of Liraglutide for Weight Management in Paediatric Subjects With Prader-Willi Syndrome,secondary_outcomes,24.134451339796662
C03,BM25,3,NCT02918279,False,Novo Nordisk,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity,secondary_outcomes,23.348518955082902
C03,BM25,4,NCT04844918,False,Eli Lilly,A Study of Tirzepatide (LY3298176) in Participants With Obesity Disease,overview,20.704487343033215
C03,BM25,5,NCT04184622,False,Eli Lilly,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight,overview,20.45445719159706
C03,BM25,6,NCT06901349,False,Eli Lilly,"A Study of Bimagrumab (LY3985863) and Tirzepatide (LY3298176), Alone or in Combination, in Participants With Obesity or Overweight With Type 2 Diabetes",overview,20.25453359946063
C03,BM25,7,NCT05024032,False,Eli Lilly,A Study of Tirzepatide (LY3298176) in Chinese Participants Without Type 2 Diabetes Who Have Obesity or Overweight (SURMOUNT-CN),overview,20.25295473474852
C03,BM25,8,NCT04847557,True,Eli Lilly,A Study of Tirzepatide (LY3298176) in Participants With Heart Failure With Preserved Ejection Fraction (HFpEF) and Obesity: The SUMMIT Trial,overview,20.120239331758835
C03,BM25,9,NCT05556512,False,Eli Lilly,A Study of Tirzepatide (LY3298176) on the Reduction on Morbidity and Mortality in Adults With Obesity,overview,20.11739418768588
C03,BM25,10,NCT04775082,False,Novo Nordisk,SCALE KIDS: Research Study to Look at How Well a New Medicine is at Lowering Weight in Children With Obesity,population,19.97969420578585
C03,Dense,1,NCT05822830,False,Eli Lilly,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight With Weight Related Comorbidities,overview,0.8164365291595459
C03,Dense,2,NCT06131437,False,Novo Nordisk,A Research Study to See How Well CagriSema Compared to Tirzepatide Helps People With Obesity Lose Weight,primary_outcome,0.7762182950973511
C03,Dense,3,NCT06041217,False,Novo Nordisk,A Research Study to See How Well Semaglutide Helps People Who Have a Body Weight Above the Healthy Weight Range,population,0.7388054728507996
