question_id,method,gold_nct_id,rank_if_top20,retrieved_top5,retrieved_top10,retrieved_top20
C03,BM25,NCT03548935,,False,False,False
C03,BM25,NCT03574597,,False,False,False
C03,BM25,NCT04847557,8.0,False,True,True
C03,BM25,NCT04916470,,False,False,False
C03,BM25,NCT05064735,,False,False,False
C03,BM25,NCT06937086,,False,False,False
C03,Dense,NCT03548935,,False,False,False
C03,Dense,NCT03574597,,False,False,False
C03,Dense,NCT04847557,,False,False,False
C03,Dense,NCT04916470,,False,False,False
C03,Dense,NCT05064735,,False,False,False
C03,Dense,NCT06937086,,False,False,False
C03,Hybrid_RRF,NCT03548935,,False,False,False
C03,Hybrid_RRF,NCT03574597,,False,False,False
C03,Hybrid_RRF,NCT04847557,12.0,False,False,True
C03,Hybrid_RRF,NCT04916470,,False,False,False
C03,Hybrid_RRF,NCT05064735,,False,False,False
C03,Hybrid_RRF,NCT06937086,,False,False,False
A06,BM25,NCT02453711,,False,False,False
A06,BM25,NCT04847557,,False,False,False
A06,BM25,NCT06388187,6.0,False,True,True
A06,BM25,NCT06780449,11.0,False,False,True
A06,BM25,NCT06858839,,False,False,False
A06,Dense,NCT02453711,,False,False,False
A06,Dense,NCT04847557,,False,False,False
A06,Dense,NCT06388187,,False,False,False
A06,Dense,NCT06780449,,False,False,False
A06,Dense,NCT06858839,11.0,False,False,True
A06,Hybrid_RRF,NCT02453711,,False,False,False
A06,Hybrid_RRF,NCT04847557,,False,False,False
A06,Hybrid_RRF,NCT06388187,,False,False,False
A06,Hybrid_RRF,NCT06780449,,False,False,False
A06,Hybrid_RRF,NCT06858839,19.0,False,False,True
A07,BM25,NCT02527200,,False,False,False
A07,BM25,NCT03552757,4.0,True,True,True
A07,BM25,NCT04788511,,False,False,False
A07,BM25,NCT06066528,,False,False,False
A07,BM25,NCT06858839,,False,False,False
A07,Dense,NCT02527200,,False,False,False
A07,Dense,NCT03552757,,False,False,False
A07,Dense,NCT04788511,,False,False,False
A07,Dense,NCT06066528,,False,False,False
A07,Dense,NCT06858839,,False,False,False
A07,Hybrid_RRF,NCT02527200,,False,False,False
A07,Hybrid_RRF,NCT03552757,,False,False,False
A07,Hybrid_RRF,NCT04788511,,False,False,False
A07,Hybrid_RRF,NCT06066528,,False,False,False
A07,Hybrid_RRF,NCT06858839,,False,False,False
