question_id,question_type,route,question,recall_at_5_rrf,recall_at_10_rrf,mrr_rrf,recall_at_5_bm25,recall_at_10_bm25,mrr_bm25,recall_at_5_dense,recall_at_10_dense,mrr_dense,rrf_delta_vs_bm25_recall5,rrf_delta_vs_bm25_recall10,rrf_delta_vs_dense_recall10,rrf_delta_vs_bm25_mrr,rrf_delta_vs_dense_mrr
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.6666666666666667
F07,factual,retrieval,What populations are being studied in Survodutide obesity trials?,0.8333333333333334,1.0,1.0,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334,1.0,1.0,0.5,0.16666666666666663,0.0,0.5,0.0
F08,factual,retrieval,What primary endpoints are used in Maridebart cafraglutide obesity trials?,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
F09,factual,retrieval,What trial objectives are being studied for Zenagamtide in obesity?,0.42857142857142855,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,0.5,0.4285714285714285,0.7142857142857143,1.0,0.14285714285714285,0.0,0.0,0.5,0.0
C03,comparative,hybrid,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,0.0,0.0,0.08333333333333333,0.0,0.1666666666666666,0.125,0.0,0.0,0.0,0.0,-0.1666666666666666,0.0,-0.04166666666666667,0.08333333333333333
C04,comparative,retrieval,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,0.5,0.8333333333333334,1.0,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,1.0,0.0,0.16666666666666674,0.16666666666666674,0.5,0.0
C05,comparative,hybrid,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,0.5,0.75,1.0,0.25,0.5,1.0,0.375,0.75,1.0,0.25,0.25,0.0,0.0,0.0
C06,comparative,hybrid,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,0.16666666666666666,0.3333333333333333,0.2,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.5,0.25,0.16666666666666666,0.0,-0.16666666666666669,0.03333333333333341,-0.04999999999999999
C08,comparative,retrieval,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,0.5,0.875,1.0,0.5,0.625,1.0,0.5,0.625,1.0,0.0,0.25,0.25,0.0,0.0
A01,analytical,hybrid,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,0.2,0.2,0.25,0.2,0.2,0.3333333333333333,0.0,0.0,0.0526315789473684,0.0,0.0,0.2,-0.08333333333333331,0.1973684210526316
A02,analytical,hybrid,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,0.16666666666666666,0.3333333333333333,0.25,0.1666666666666666,0.3333333333333333,0.25,0.0,0.3333333333333333,0.1666666666666666,5.551115123125783e-17,0.0,0.0,0.0,0.0833333333333334
A03,analytical,retrieval,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",0.14285714285714285,0.2857142857142857,1.0,0.1428571428571428,0.1428571428571428,0.5,0.1428571428571428,0.1428571428571428,0.5,5.551115123125783e-17,0.1428571428571429,0.1428571428571429,0.5,0.5
A04,analytical,hybrid,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",0.125,0.25,1.0,0.25,0.25,0.5,0.125,0.125,0.25,-0.125,0.0,0.125,0.5,0.75
A05,analytical,retrieval,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,0.0,0.5,0.14285714285714285,0.5,0.5,1.0,0.0,0.0,0.0,-0.5,0.0,0.5,-0.8571428571428572,0.14285714285714285
A06,analytical,hybrid,How does Amgen's obesity development strategy differ from the larger Novo Nordisk and Eli Lilly portfolios in this dataset?,0.0,0.0,0.05263157894736842,0.0,0.2,0.1666666666666666,0.0,0.0,0.0909090909090909,0.0,-0.2,0.0,-0.11403508771929818,-0.03827751196172248
A07,analytical,retrieval,What evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts?,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.0,0.0,-0.2,-0.2,0.0,-0.25,0.0
A08,analytical,hybrid,"What does the current trial-status mix suggest about the maturity of Amgen, Boehringer Ingelheim, Eli Lilly and Novo Nordisk obesity portfolios?",0.14285714285714285,0.14285714285714285,0.25,0.1428571428571428,0.1428571428571428,0.25,0.0,0.0,0.0833333333333333,5.551115123125783e-17,5.551115123125783e-17,0.14285714285714285,0.0,0.16666666666666669
A09,analytical,retrieval,How diverse are the trial populations and geographies represented in the major obesity programs?,0.16666666666666666,0.16666666666666666,0.5,0.1666666666666666,0.1666666666666666,1.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.16666666666666666,-0.5,0.5
A10,analytical,hybrid,"What are the main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide in this corpus?",0.16666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,-0.33333333333333337,0.16666666666666663,0.3333333333333333,0.0,0.0
