question_id,question,question_type,expected_route,answerable,requires_retrieval,gold_evidence_count,scope_count,pipeline_success,actual_route,route_correct,predicted_abstain,retrieved_count,recall_at_5,recall_at_10,hit_at_5,hit_at_10,mrr,citation_count,citation_validity,citation_coverage,grounding_validator_pass,synthesis_repaired,synthesis_attempts,planner_latency_ms,synthesis_latency_ms,total_latency_ms,planner_input_tokens,planner_output_tokens,synthesis_input_tokens,synthesis_output_tokens,answer_text,used_citations,retrieved_nct_ids,gold_evidence_nct_ids,judge_success,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_notes
F01,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,factual,structured,True,False,0,37,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,5270.6,1528.0,6938.1,1769,173,4355.0,222.0,Eli Lilly has 37 direct-obesity Phase 3 trials in the corpus.,[],[],[],True,pass,pass,pass,pass,"The generated answer correctly states that Eli Lilly has 37 direct-obesity Phase 3 trials in the corpus, which is directly supported by the structured analysis. The answer is materially correct, fully grounded in the provided evidence, and complete as it directly answers the question without omissions. Citation entailment is pass because the answer is derived from the structured analysis and no external citations are required or provided."
F02,How many currently active direct-obesity trials does Amgen have?,factual,structured,True,False,0,7,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1255.8,1886.7,3237.2,1765,170,3279.0,281.0,Amgen has 7 currently active direct-obesity trials.,[],[],[],True,pass,pass,pass,not_applicable,"The generated answer correctly states that Amgen has 7 currently active direct-obesity trials, which is fully supported by the structured analysis. All key findings (active status breakdown, phase distribution, and program focus) are accurately derived from the provided data. No unsupported claims or omissions are present. Citations are not required for this structured answer type."
F03,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,factual,structured,True,False,0,23,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1242.7,1918.1,3253.4,1768,176,3435.0,303.0,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,[],[],[],True,pass,pass,pass,not_applicable,"The answer correctly states that the corpus contains 18 trials evaluating Tirzepatide as an Eli Lilly program, which is directly supported by the structured analysis. All key findings (phases, statuses) are accurate and derived from the provided data. No unsupported claims are made, and the limitations are appropriately included. Since the answer relies solely on structured analysis without requiring external citations, citation entailment is not applicable."
F04,How many Novo Nordisk obesity trials evaluate Semaglutide?,factual,structured,True,False,0,36,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1378.6,1558.7,3055.8,1761,170,3481.0,216.0,There are 26 Novo Nordisk obesity trials evaluating Semaglutide.,[],[],[],True,pass,pass,pass,pass,"The generated answer correctly states that there are 26 Novo Nordisk obesity trials evaluating Semaglutide, which is directly supported by the structured analysis. The answer is concise, accurate, and aligns with the provided data. No unsupported claims or omissions are present. The citation_entailment is pass because the answer is derived directly from the structured analysis without requiring external evidence."
F05,Which development phase contains most of Novo Nordisk's direct-obesity trials?,factual,structured,True,False,0,70,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1269.2,1875.5,3289.1,1766,163,5286.0,257.0,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials (84%) classified at this phase level.",[],[],[],True,pass,pass,pass,pass,"The answer correctly identifies that Phase 3 contains the majority of Novo Nordisk's direct-obesity trials (59 out of 70 total trials, 84%) based on the structured analysis. The evidence provided in the structured analysis clearly shows the phase distribution for Novo Nordisk's trials, with 59 Phase 3 and 11 Phase 2 trials. The answer is accurate, well-supported by the data, and complete in addressing the question. No citations are required as the answer is derived directly from the structured analysis provided."
F06,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,factual,retrieval,True,True,4,9,True,hybrid,False,False,9,0.75,1.0,1.0,1.0,1.0,9,1.0,1.0,True,False,1,1285.1,2997.2,4519.1,1767,187,8389.0,480.0,"The primary outcomes used in Phase 3 Retatrutide obesity trials consistently focus on weight reduction metrics, specifically percent change from baseline in body weight, measured at various time points across different patient populations and study designs.","[""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT06662383"", ""NCT06859268"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]","[""NCT05929066"", ""NCT06859268"", ""NCT07035093"", ""NCT07357415"", ""NCT05882045"", ""NCT07232719"", ""NCT06662383"", ""NCT05929079"", ""NCT05931367""]","[""NCT05929066"", ""NCT05929079"", ""NCT06859268"", ""NCT07035093""]",True,pass,pass,pass,pass,"The answer correctly identifies the primary outcome across all Phase 3 Retatrutide obesity trials as percent change from baseline in body weight, supported by all nine cited trials. The key findings accurately note additional co-primary outcomes (WOMAC pain score and AHI change) in specific subpopulations, with appropriate citations. The answer is comprehensive, well-supported, and adheres to the evidence constraints."
F07,What populations are being studied in Survodutide obesity trials?,factual,retrieval,True,True,6,6,True,retrieval,True,False,6,0.8333333333333334,1.0,1.0,1.0,1.0,5,1.0,1.0,True,False,1,1301.5,3324.7,4742.9,1764,184,8640.0,573.0,"Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).","[""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]","[""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06066515"", ""NCT06309992"", ""NCT04667377""]","[""NCT04667377"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992""]",True,pass,pass,pass,pass,"The generated answer correctly identifies and summarizes the distinct patient populations studied in the Survodutide obesity trials based on the retrieved evidence. Each population is clearly described with supporting citations. The answer is comprehensive, covering all relevant populations mentioned in the evidence without adding unsupported claims. All citations align with the claims made in the answer."
F08,What primary endpoints are used in Maridebart cafraglutide obesity trials?,factual,retrieval,True,True,4,8,True,retrieval,True,False,8,0.5,1.0,1.0,1.0,0.5,8,1.0,1.0,True,False,1,1363.5,2882.6,4397.5,1766,207,7809.0,515.0,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, specifically percent change in body weight from baseline at various time points.","[""NCT05669599"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]","[""NCT06858839"", ""NCT06987695"", ""NCT06858878"", ""NCT07575399"", ""NCT07684235"", ""NCT07684144"", ""NCT05669599"", ""NCT07441252""]","[""NCT05669599"", ""NCT06987695"", ""NCT07441252"", ""NCT07684235""]",True,pass,pass,pass,pass,"The answer correctly identifies the primary endpoints used in Maridebart cafraglutide obesity trials based on the retrieved evidence. It accurately states that percent change in body weight from baseline is the primary endpoint across all Phase 3 trials and most Phase 2 trials, with additional co-primary endpoints noted for specific trials (e.g., proportion achieving ≥5% weight reduction in NCT06987695 and liver fat content in NCT07441252). The citations support all claims made in the answer, and the answer is comprehensive in covering the key findings from the evidence."
F09,What trial objectives are being studied for Zenagamtide in obesity?,factual,retrieval,True,True,7,12,True,retrieval,True,False,10,0.42857142857142855,0.7142857142857143,1.0,1.0,1.0,10,1.0,1.0,True,False,1,1376.0,3890.1,5432.6,1765,211,8223.0,655.0,"The retrieved evidence for Zenagamtide in obesity shows that the primary trial objectives focus on evaluating the safety and efficacy of the drug for weight loss in participants with excess body weight, often measured as relative change in body weight over extended periods (up to 84 weeks). Several trials also incorporate secondary objectives related to comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.","[""NCT07339423"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]","[""NCT07720271"", ""NCT07668401"", ""NCT07571109"", ""NCT07339423"", ""NCT07509307"", ""NCT07481630"", ""NCT07571005"", ""NCT07503210"", ""NCT07533175"", ""NCT07668414""]","[""NCT06064006"", ""NCT07339423"", ""NCT07400107"", ""NCT07503210"", ""NCT07509307"", ""NCT07571005"", ""NCT07720271""]",True,pass,pass,pass,pass,"The generated answer accurately identifies the primary trial objectives for Zenagamtide in obesity based on the retrieved evidence. It correctly states that all trials evaluate safety and efficacy for weight loss, measured as relative change in body weight over extended periods. The answer also appropriately notes secondary objectives related to comorbid conditions (sleep apnea, knee osteoarthritis) and maintenance of weight loss, with specific citations for each claim. The limitations section correctly reflects the provided corpus limitations. All claims are supported by the cited NCT IDs and align with the evidence."
F10,Which company has the largest number of direct-obesity trials in the frozen corpus?,factual,structured,True,False,0,139,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1158.2,2123.3,3779.6,1768,183,8882.0,275.0,Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials.,[],[],[],True,pass,pass,pass,pass,The answer correctly identifies Novo Nordisk as having the largest number of direct-obesity trials (70) based on the structured analysis. The key findings accurately reflect the trial counts per company from the provided data. All claims are supported by the structured analysis and no unsupported claims are made. The answer is complete and accurate.
