question_id,question_type,route,question,candidate_rank,nct_id,canonical_company,phases,overall_status,normalized_programs,brief_title,conditions,primary_outcomes,brief_summary,start_date,enrollment,is_gold_evidence,review_notes
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,1,NCT07035093,Eli Lilly,"[""PHASE3""]",ACTIVE_NOT_RECRUITING,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants Who Have Obesity or Overweight and Chronic Low Back Pain,"[""Obesity"", ""Overweight"", ""Chronic Low Back Pain (CLBP)""]","[{""measure"": ""Change from Baseline in Pain Intensity Per Numeric Rating Scale"", ""description"": null, ""time_frame"": ""Baseline, up to 72 weeks""}, {""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, up to 72 weeks""}]",The main purpose of this study is to evaluate the efficacy and safety of retatrutide in relieving chronic low back pain in participants who have obesity or overweight. Participation in the study will last about 80 weeks.,2025-05-29,586.0,1.0,Selected: captures a distinct Retatrutide primary-outcome pattern.
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,2,NCT06859268,Eli Lilly,"[""PHASE3""]",ACTIVE_NOT_RECRUITING,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in the Maintenance of Weight Reduction in Individuals With Obesity,"[""Obesity""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Week 0, Week 116""}]","This is a study of retatrutide in participants with obesity. The main purpose is to learn more about how retatrutide maintains body weight loss. The study will have two treatment phases: an 80 week lead-in phase in which all participants will take retatrutide dose 1 and a 36 week randomized, double-blinded phase in which participants will either take retatrutide dose 1, retatrutide dose 2, or switch to placebo. Participation in the study will last around 125 weeks.",2025-03-05,643.0,1.0,Selected: captures a distinct Retatrutide primary-outcome pattern.
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,3,NCT07357415,Eli Lilly,"[""PHASE3""]",ACTIVE_NOT_RECRUITING,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants Without Type 2 Diabetes Who Have Obesity or Overweight,"[""Obesity"", ""Overweight""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 104""}]",The purpose of this study is to investigate the efficacy and safety of different retatrutide dose escalation schemes in participants without type 2 diabetes who have obesity or overweight. Participation in the study will last about 113 weeks.,2026-01-24,600.0,0.0,"Relevant candidate, but not required for the compact gold-evidence set."
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,4,NCT05929066,Eli Lilly,"[""PHASE3""]",COMPLETED,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants Who Have Obesity or Overweight,"[""Obesity"", ""Overweight"", ""Osteoarthritis, Knee"", ""Obstructive Sleep Apnea""]","[{""measure"": ""Percent Change From Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}, {""measure"": ""Change from Baseline in Apnea-Hypopnea Index (AHI) Events Per Hour for GSA1 Subset"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}, {""measure"": ""Change from Baseline in the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Subscale Score for GOA1 Subset"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}, {""measure"": ""Percent Change from Baseline in Body Weight in Participants in Extension Subset"", ""description"": null, ""time_frame"": ""Baseline, Week 104""}]",The purpose of this study is to evaluate the efficacy and safety of retatrutide in participants who have obesity or overweight (J1I-MC-GZBJ master protocol) including subsets of participants who have knee osteoarthritis (OA) (J1I-MC-GOA1) or who have obstructive sleep apnea (OSA) (J1I-MC-GSA1). This study will last about 89 weeks and will include up to 24 visits. Addendum (2) is optional and available to approximately 500 participants to continue treatment with retatrutide for up to an additional 24 weeks.,2023-07-10,2335.0,1.0,Selected: captures a distinct Retatrutide primary-outcome pattern.
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,5,NCT05931367,Eli Lilly,"[""PHASE3""]",COMPLETED,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) Once Weekly in Participants Who Have Obesity or Overweight and Osteoarthritis of the Knee,"[""Obesity"", ""Overweight"", ""Osteo Arthritis Knee""]","[{""measure"": ""Change from Baseline in the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) Pain Subscale Score"", ""description"": null, ""time_frame"": ""Baseline, Week 68""}, {""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 68""}]",The main purpose of this study is to evaluate the safety and efficacy of retatrutide once-weekly in participants who have obesity or are overweight and have osteoarthritis (OA) of the knee. The study will lasts about 77 weeks.,2023-08-01,445.0,0.0,"Relevant candidate, but not required for the compact gold-evidence set."
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,6,NCT05929079,Eli Lilly,"[""PHASE3""]",COMPLETED,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants With Type 2 Diabetes Mellitus Who Have Obesity or Overweight,"[""Type 2 Diabetes"", ""Obesity"", ""Overweight"", ""Obstructive Sleep Apnea""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}, {""measure"": ""Change from Baseline in Apnea-Hypopnea Index (AHI) for GSA2 Subset"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}]",The purpose of this study is to is to evaluate the efficacy and safety of retatrutide in participants with type 2 diabetes in participants who have obesity or overweight (J1I-MC-GZBK master protocol) including a subset of participants who have obstructive sleep apnea (OSA) (J1I-MC-GSA2). The study will last about 89 weeks and will include up to 24 visits.,2023-07-11,1152.0,1.0,Selected: captures a distinct Retatrutide primary-outcome pattern.
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,7,NCT06662383,Eli Lilly,"[""PHASE3""]",ACTIVE_NOT_RECRUITING,"[""Retatrutide"", ""Tirzepatide""]",A Study of Retatrutide (LY3437943) Compared to Tirzepatide (LY3298176) in Adults Who Have Obesity,"[""Obesity""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}]",The main purpose of this study is to evaluate the efficacy and safety of retatrutide compared to tirzepatide in adults who have obesity. The study will last about 89 weeks.,2024-11-01,800.0,0.0,"Relevant candidate, but not required for the compact gold-evidence set."
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,8,NCT05882045,Eli Lilly,"[""PHASE3""]",COMPLETED,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants With Obesity and Cardiovascular Disease,"[""Obesity"", ""Cardiovascular Diseases""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 80""}]",The main purpose of this study is to evaluate the efficacy and safety of retatrutide once weekly in participants with obesity and established cardiovascular disease (CVD). The study will last about 113 weeks.,2023-05-30,1946.0,0.0,"Relevant candidate, but not required for the compact gold-evidence set."
F06,factual,retrieval,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,9,NCT07232719,Eli Lilly,"[""PHASE3""]",ACTIVE_NOT_RECRUITING,"[""Retatrutide""]",A Study of Retatrutide (LY3437943) in Participants With Obesity or Overweight,"[""Obesity"", ""Overweight""]","[{""measure"": ""Percent Change from Baseline in Body Weight"", ""description"": null, ""time_frame"": ""Baseline, Week 56""}]","The purpose of this study is to evaluate the efficacy and safety of retatrutide compared with placebo for body weight reduction.

Participation in the study will last about 65 weeks and may include about 18 visits.",2025-11-17,250.0,0.0,"Relevant candidate, but not required for the compact gold-evidence set."
F07,factual,retrieval,What populations are being studied in Survodutide obesity trials?,1,NCT06176365,Boehringer Ingelheim,"[""PHASE3""]",COMPLETED,"[""Survodutide""]",A Study to Test Whether Survodutide Helps Japanese People Living With Obesity Disease,"[""Obesity""]","[{""measure"": ""Percentage change in body weight from baseline to Week 76"", ""description"": null, ""time_frame"": ""at baseline, at week 76""}, {""measure"": ""Achievement of body weight reduction ≥5% (yes/no) from baseline to Week 76"", ""description"": null, ""time_frame"": ""at baseline, at week 76""}]","This study is open to adults who are at least 18 years old and have

* a body mass index (BMI) of 35 kg/m² or more and at least one health problem related to their weight, or
* a BMI of 27 kg/m² or more and at least two health problems related to their weight.

People who have either type 2 diabetes, high blood pressure, or increased blood lipids can take part in this study. Only people who have previously not managed to lose weight by changing their diet can participate.

The purpose of this study is to find out whether a medicine called survodutide (BI 456906) helps people living with obesity disease to lose weight. Participants are divided into 3 groups by chance, like drawing names from a hat. 2 groups get different doses of survodutide and 1 group gets placebo. Placebo looks like survodutide but does not contain any medicine.

Every participant has a 2 in 3 chance of getting survodutide. Participants inject survodutide or placebo under their skin once a week for about one and a half years. In addition to the study medicine, all participants receive counselling to make changes to their diet and to exercise regularly.

Participants are in the study for about 1 year and 7 months. During this time, it is planned that participants visit the study site up to 14 times and receive 6 phone calls by the site staff.

The doctors check participants' health and take note of any unwanted effects. The participants' body weight is regularly measured. The results are compared between the groups to see whether the treatment works.",2024-01-16,274.0,1.0,Selected: captures a distinct Survodutide population or geographic subgroup.
