question_id,v1_pipeline_success,v1_route,v1_route_correct,v1_answer,v1_judge_answer_correctness,v1_judge_groundedness,v1_judge_completeness,v1_judge_citation_entailment,v1_latency_ms,question,expected_route,v2_pipeline_success,v2_route,v2_route_correct,v2_answer,v2_judge_answer_correctness,v2_judge_groundedness,v2_judge_completeness,v2_judge_citation_entailment,v2_latency_ms,pipeline_recovered,route_changed,answer_changed
A01,True,hybrid,True,"The trial evidence shows Novo Nordisk's obesity pipeline has evolved from established GLP-1 analog liraglutide toward newer, more potent programs like semaglutide, with ongoing exploration of dual GIP/GLP-1 receptor agonist retatrutide and GPR119 agonist survodutide.",pass,pass,pass,pass,6203.0,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,hybrid,True,hybrid,True,"The trial evidence shows Novo Nordisk's obesity pipeline has evolved from established Liraglutide use toward newer Semaglutide and emerging programs like Retatrutide and Survodutide, with progression indicated by comparative trials and newer program entries.",pass,pass,pass,pass,5964.9,False,False,True
A02,True,hybrid,True,"The trial portfolio suggests that Eli Lilly is diversifying beyond Tirzepatide by exploring combination therapies and expanding indications for existing assets, while also potentially advancing new molecular entities in obesity treatment.",pass,pass,pass,pass,7665.4,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,hybrid,True,hybrid,True,The trial portfolio indicates that Eli Lilly is diversifying beyond Tirzepatide by exploring combination therapies and expanding into adjacent therapeutic areas where obesity is a comorbidity.,pass,pass,pass,pass,4569.5,False,False,True
A03,True,retrieval,True,"Across obesity trials from Novo Nordisk, Eli Lilly, Amgen, and Boehringer Ingelheim, the most commonly used primary outcomes are weight change metrics, particularly percent change from baseline in body weight and achievement of ≥5% body weight reduction.",pass,pass,pass,pass,5200.2,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",retrieval,True,hybrid,False,"The most common primary outcome types used in obesity trials across the four companies are weight-loss metrics, specifically percentage change in body weight and the proportion of participants achieving ≥5% body weight reduction.",pass,pass,pass,pass,20170.1,False,True,True
A04,True,hybrid,True,"Based on the retrieved evidence, Novo Nordisk and Eli Lilly appear to have the broadest clinical development footprints in obesity, with Semaglutide and Tirzepatide showing particularly extensive trial activity.",pass,pass,pass,pass,6215.3,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",hybrid,True,hybrid,True,"Novo Nordisk and Eli Lilly appear to have the broadest clinical development footprints in obesity based on the retrieved evidence, with multiple Phase 3 trials across several distinct programs.",pass,pass,pass,pass,10573.3,False,False,True
A05,True,retrieval,True,"Obesity trials are increasingly incorporating cardiovascular and other clinical outcomes beyond weight loss, particularly in later-phase studies. Notable examples include the SELECT trial (NCT03574597) evaluating semaglutide's impact on cardiovascular events in patients with prior cardiovascular disease, and trials assessing blood pressure changes (e.g., NCT04667377) and liver outcomes (e.g., NCT07441252).",pass,pass,pass,pass,4606.0,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,retrieval,True,retrieval,True,"Obesity trials are increasingly designed to evaluate cardiovascular and metabolic outcomes beyond weight loss, including heart failure outcomes, cardiovascular death, myocardial infarction, stroke, and changes in visceral adipose tissue. Trials also incorporate patient-reported outcomes such as health-related quality of life (SF-36v2) and obesity-specific quality of life (IWQoL-Lite-CT), and evaluate lipid, glucose, and liver disease parameters (e.g., improvements in hyperlipidemia, insulin glucose tolerance, and non-alcoholic fatty liver disease). Blood pressure monitoring and changes in systolic/diastolic blood pressure are included as secondary endpoints in several trials, reflecting cardiovascular risk assessment.",pass,pass,pass,pass,8603.7,False,False,True
A06,True,hybrid,True,"Amgen's obesity development strategy differs from Novo Nordisk and Eli Lilly by focusing exclusively on the GLP-1 receptor agonist maridebart cafraglutide, whereas Novo Nordisk and Eli Lilly have broader portfolios with multiple distinct molecular entities targeting various pathways.",pass,pass,pass,pass,5305.9,How does Amgen's obesity development strategy differ from the larger Novo Nordisk and Eli Lilly portfolios in this dataset?,hybrid,True,hybrid,True,"Amgen's obesity strategy focuses exclusively on Maridebart cafraglutide with a narrow Phase 3 trial footprint, while Novo Nordisk and Eli Lilly pursue broader portfolios with multiple Phase 3 programs and larger trial counts.",pass,pass,pass,pass,6664.0,False,False,True
A07,True,retrieval,True,"The retrieved evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts through trials that include specific BMI ranges, age groups, comorbidities, and diabetes status.",pass,pass,pass,pass,4832.7,What evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts?,retrieval,True,retrieval,True,"Evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts, including trials focused on participants with elevated liver fat, type 2 diabetes, and East Asian populations.",pass,pass,pass,pass,8465.6,False,False,True
A08,True,structured,False,"The trial-status mix across the four companies shows varying levels of portfolio maturity, with Novo Nordisk and Eli Lilly having the most advanced pipelines, Amgen showing a balanced mix, and Boehringer Ingelheim having the least mature portfolio.",fail,fail,fail,not_applicable,4034.1,"What does the current trial-status mix suggest about the maturity of Amgen, Boehringer Ingelheim, Eli Lilly and Novo Nordisk obesity portfolios?",hybrid,True,structured,False,"The current trial-status mix across Amgen, Boehringer Ingelheim, Eli Lilly, and Novo Nordisk suggests varying levels of portfolio maturity, with Novo Nordisk and Eli Lilly showing the most advanced and active development pipelines, while Amgen and Boehringer Ingelheim have smaller, less active portfolios.",pass,pass,pass,not_applicable,5671.8,False,False,True
A09,True,hybrid,False,"The retrieved evidence shows that major obesity programs include trials conducted across multiple countries and diverse patient populations, including adults, adolescents, and participants with comorbidities such as type 2 diabetes and cardiovascular disease.",pass,pass,pass,pass,5956.8,How diverse are the trial populations and geographies represented in the major obesity programs?,retrieval,True,hybrid,False,"The major obesity programs demonstrate considerable geographic and demographic diversity in their trial populations, with participation spanning multiple continents and a wide range of countries. Trials were conducted across 51 unique countries, with the United States being the most common site, followed by Canada, Poland, Germany, and the United Kingdom. Additional participation was noted in countries such as Spain, Argentina, Puerto Rico, Japan, and Australia. This broad geographic representation suggests efforts to include diverse populations in these clinical studies.",pass,pass,pass,pass,28145.7,False,False,True
A10,True,structured,False,"The main differences in clinical-development breadth across the four programs are reflected in their trial counts and phase distribution: Semaglutide has the broadest development with 26 trials (all Phase 3), followed by Tirzepatide with 18 trials (19 owned), Retatrutide with 10 trials, and Maridebart cafraglutide with 8 trials. All programs are primarily in Phase 3 except for a small number of Phase 2 trials.",pass,pass,pass,not_applicable,4308.0,"What are the main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide in this corpus?",hybrid,True,structured,False,"The main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide are reflected in their trial counts, active trial shares, and phase distributions.",pass,pass,pass,not_applicable,4411.3,False,False,True
C01,False,,,,,,,,,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,structured,True,structured,True,Novo Nordisk ran 59 Phase 3 direct-obesity trials versus Eli Lilly's 37 Phase 3 direct-obesity trials.,pass,pass,pass,pass,3388.1,True,True,True
C02,True,structured,True,"Novo Nordisk has a significantly larger active share of obesity trials compared to Amgen, with 25 active trials versus 7 active trials.",pass,pass,pass,not_applicable,3222.3,Compare the active share of obesity trials for Amgen and Novo Nordisk.,structured,True,structured,True,"Both Amgen and Novo Nordisk have an active share of 100% in their obesity trials, meaning all trials for each company are currently active.",pass,pass,pass,pass,3480.2,False,False,True
C03,False,,,,,,,,,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,hybrid,True,hybrid,True,"Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives. Tirzepatide has fewer trials (18) but a higher proportion of active trials (33% active share) compared to Semaglutide (26 trials, 8% active share). Tirzepatide trials show a broader focus on weight maintenance and adolescent populations, while Semaglutide trials emphasize long-term weight loss and maintenance in adults with obesity or overweight.",pass,pass,pass,pass,6351.4,True,True,True
